Date,Price
13/06/2024,82.81
14/06/2024,82.69
17/06/2024,83.07
18/06/2024,84.5
19/06/2024,85.54
20/06/2024,85.68
21/06/2024,86
24/06/2024,85.98
25/06/2024,86.27
26/06/2024,85.46
27/06/2024,86.05
28/06/2024,86.59
01/07/2024,86.47
02/07/2024,87.38
03/07/2024,87.02
04/07/2024,87.47
05/07/2024,88.11
08/07/2024,86.77
09/07/2024,85.91
10/07/2024,85.4
11/07/2024,86.11
12/07/2024,86.27
15/07/2024,85.31
16/07/2024,84.44
17/07/2024,84.56
18/07/2024,85.43
19/07/2024,84.81
22/07/2024,82.77
23/07/2024,82.19
24/07/2024,81.45
25/07/2024,81.37
26/07/2024,81.67
29/07/2024,80.66
30/07/2024,79.58
31/07/2024,80.65
01/08/2024,80.79
02/08/2024,78.85
05/08/2024,75.03
06/08/2024,75.34
07/08/2024,76.65
08/08/2024,77.84
09/08/2024,78.05
